83,แค่เราไม่ได้รักกัน,Indigo,28156,https://open.spotify.com/track/7Fi43HjA5FTTCPOj2wai00
84,"Bad Boy","Red Velvet",28056,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
85,"Let Me",ZAYN,27990,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
86,รู้ทั้งรู้,OG-ANIC,27831,https://open.spotify.com/track/0KnDJSGxu03x8idlKLKKki
87,Natural,"Imagine Dragons",27563,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
88,Darkside,"Alan Walker",27407,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
89,"PLAYING WITH FIRE - KR Ver.",BLACKPINK,27120,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy
90,เป็นทุกอย่าง,"Room 39",27022,https://open.spotify.com/track/09zqmrjQokoAfQJ1WeLkFK
91,โคตรจะภักดี,O-Pavee,26864,https://open.spotify.com/track/5HEUm9PnNxzZAIbThvehky
92,"Jackie Chan",Tiësto,26119,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
93,"The Middle",Zedd,25975,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
94,"Lover Boy 88",88rising,25697,https://open.spotify.com/track/2vRDFgdJiILUdDOLL8hLH3
95,เบอร์มาดิ,P-Hot,25684,https://open.spotify.com/track/740TQSOivzfTgFYcMPWbnf
96,"PICK ME","PRODUCE 48",25572,https://open.spotify.com/track/1LShDXXs40R8bQFNBBupI3
97,SAD!,XXXTENTACION,25263,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
98,"ภูเขาบังเส้นผม feat. TWOPEE",Stamp,25193,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA
99,"BOOMBAYAH - KR Ver.",BLACKPINK,25118,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
100,"Only You (with Little Mix)","Cheat Codes",24990,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
101,Enemies,Lauv,24727,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
102,เจ็บจนไม่เข้าใจ,PORTRAIT,24691,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
103,Body,"Loud Luxury",24663,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
104,"One Day (feat. Ryan Tedder)",Logic,24400,https://open.spotify.com/track/6e2PtJYcltVk76nLwxBzRn
105,"Shape of You","Ed Sheeran",24199,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
106,"WHISTLE - KR Ver.",BLACKPINK,24136,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c
107,"What is Love?",TWICE,23425,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
108,"Love It If We Made It","The 1975",23313,https://open.spotify.com/track/7MRY4VpCuZvBmFda6ZCk2G
109,"BBoom BBoom",MOMOLAND,23199,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
110,ที่เก่า,"Marc Tatchapon",23145,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
111,Havana,"Camila Cabello",23004,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
112,แค่อีกครั้งเดียว,"De Flamingo",22627,https://open.spotify.com/track/5mBmQdFk0MIPBaASLNyhyA
113,"The Truth Untold",BTS,22574,https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm
114,"Psycho (feat. Ty Dolla $ign)","Post Malone",22515,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
115,"Summertime Magic","Childish Gambino",22503,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
116,FRIENDS,Marshmello,22379,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
117,Flower,"Twopee Southside",21648,https://open.spotify.com/track/3Z1A584gUX1pxdlG3Oo8WT
118,Somebody,"The Chainsmokers",21623,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
119,Egotistic,Mamamoo,21597,https://open.spotify.com/track/5Z4aqpT39KpY8gbHoJWdou
120,Perfect,"Ed Sheeran",21249,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
121,LATATA,(G)I-DLE,20992,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD
122,ใจเย็น,Image,20928,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv
123,"no tears left to cry","Ariana Grande",20566,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
124,Attention,"Charlie Puth",20444,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
125,"ไม่ GUARANTEE",Thaitanium,20360,https://open.spotify.com/track/6kzTfWCPewG1E4xMEJ9d9P
126,"Oh My!",SEVENTEEN,20041,https://open.spotify.com/track/4JViGq60SvqtQXI3WK0OLS
127,"Too Good At Goodbyes","Sam Smith",19922,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
128,ดูโง่โง่,"25 hours",19892,https://open.spotify.com/track/2WzTWMuN1kjNMKhLVTpf6U
129,"Never Not",Lauv,19662,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
130,โลกที่ไม่มีเธอ,PORTRAIT,19621,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
131,"Way Back Home",SHAUN,19557,https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL
132,"ปล่อย (Miss)","Clockwork Motionless",19465,https://open.spotify.com/track/7ihijRsdyrrQQR2iwSdibF
133,"New Rules","Dua Lipa",19445,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
134,"Say Hi","The Toys",19429,https://open.spotify.com/track/5l1x5azo0RyYtayqL9nx4o
135,"One Kiss (with Dua Lipa)","Calvin Harris",19376,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
136,เงาของเมื่อวาน,Cocktail,19130,https://open.spotify.com/track/58xnXpPVENyQQtgvKh16Fs
137,TOY,"The Toys",19074,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
138,"God's Plan",Drake,18897,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
139,"Young Dumb & Broke",Khalid,18810,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
140,ไวน์,"Max Jenmana",18750,https://open.spotify.com/track/00Hj710RrsLX5s9bothwlW
141,"Paris in the Rain",Lauv,18636,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
142,"피카부 Peek-A-Boo","Red Velvet",18418,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF
143,Entertainer,ZAYN,18330,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
144,"In My Mind",Dynoro,18304,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
145,"Side Effects (feat. Emily Warren)","The Chainsmokers",18298,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
146,PLEASE,"Atom Chanakan",17987,https://open.spotify.com/track/60hF3gZXQ33xdAXXk6tE1x
147,"you should see me in a crown","Billie Eilish",17976,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
148,หน่วง,"Room 39",17938,https://open.spotify.com/track/1DwuRmCQZ3YHfUrZZUJHcu
149,IDGAF,"Dua Lipa",17842,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
150,Restart,"Room 39",17826,https://open.spotify.com/track/5gtXv0Ir0eolOIeDulhNZO
151,Shine,PENTAGON,17351,https://open.spotify.com/track/7nkp1uuSbKkoxMvEs8cSw0
152,"빨간 맛 Red Flavor","Red Velvet",17025,https://open.spotify.com/track/7nKQ5WAcjnG48knyLuo8gO
153,"lovely (with Khalid)","Billie Eilish",16965,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
154,Closer,"The Chainsmokers",16938,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
155,"I'm Yours","Jason Mraz",16914,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
156,"I Like Me Better",Lauv,16789,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
157,"Let Me Down Slowly","Alec Benjamin",16599,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
158,ลืมไปก่อน,"Buddha Bless",16519,https://open.spotify.com/track/6Rpj87GuuE59nij1NVmpzD
159,Energetic,"Wanna One",16445,https://open.spotify.com/track/3NkkcnnKrNHv4AiGaPdD76
160,DNA,BTS,16349,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
161,"I'm so sick",Apink,16157,https://open.spotify.com/track/3lSM3Wn3RJbzAAHzJ3sX1f
162,Talk,"Why Don't We",16092,https://open.spotify.com/track/4HYNtH7n3TrbbtRa94sA0K
163,ร่มสีเทา,Whatcharawale,15993,https://open.spotify.com/track/6z56u8jPSSroDFrJVD5cMf
164,ถ้าหาก,"Two Popetorn",15991,https://open.spotify.com/track/3o5FB7uyNadcadhKe3GP32
165,EVERYDAY,WINNER,15880,https://open.spotify.com/track/42rziXmwGA04hNSMi2MliA
166,"Best Part",H.E.R.,15857,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
167,"That's What I Like","Bruno Mars",15829,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
168,"Spring Day",BTS,15696,https://open.spotify.com/track/0WNGsQ1oAuHzNTk8jivBKW
169,"1, 2, 3!",SEUNGRI,15694,https://open.spotify.com/track/6CSZO82B0cM4CUgnrjPSfJ
170,รู้ดีว่าไม่ดี,Getsunova,15430,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
171,"Sorry Not Sorry","Demi Lovato",15321,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0
172,มะงึกๆอุ๋งๆ,"Ornly You",15224,https://open.spotify.com/track/3Wz7m9QeE8EAfpg98uxhRk
173,"If You're Over Me","Years & Years",15209,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
174,"วู่วาม - Unreleased Version","Season Five",15180,https://open.spotify.com/track/2nAUhnLMltzWOHCnjAUsGd
175,อย่าบอก,"Atom Chanakan",15124,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
176,"ดีต่อใจ (To Get Her)",Mild,15027,https://open.spotify.com/track/6i5S9ngfta3qDP6zP5PG7k
177,"How Long","Charlie Puth",15018,https://open.spotify.com/track/6wmAHw1szh5RCKSRjiXhPe
178,Nonstop,Drake,14967,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
179,"Sunny Summer",GFRIEND,14914,https://open.spotify.com/track/7IE8eERSpTC9Jaw3arl99B
180,Thunder,"Imagine Dragons",14862,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
181,ยังคิดถึง...(Same),"Marc Tatchapon",14819,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
182,"Location Unknown ◐",HONNE,14735,https://open.spotify.com/track/0I5dM0TUz3p33re4kLdsXJ
183,"REALLY REALLY - KR ver.",WINNER,14718,https://open.spotify.com/track/4Ve8XzRxQcAMyFWgqITHFk
184,ยังไม่รู้,"Better Weather",14681,https://open.spotify.com/track/2OQQPlUlrSKu2nOPMwTS2c
185,"Done For Me (feat. Kehlani)","Charlie Puth",14586,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
186,"The Way I Am","Charlie Puth",14583,https://open.spotify.com/track/6qNALlmZa1ESnCxJmXE1K9
187,"More Than Friends (feat. Meghan Trainor)","Jason Mraz",14551,https://open.spotify.com/track/2Eowpnfjs5iXP8OLToAOYA
188,"all the kids are depressed","Jeremy Zucker",14529,https://open.spotify.com/track/75ls0gurX68lUmMjE7QcsE
189,BOSS,NCT,14421,https://open.spotify.com/track/0ErzcmZ2gIwX7X0xSMQPix
190,Moonlight,XXXTENTACION,14417,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
191,"SoulMate (feat. IU)",Zico,14336,https://open.spotify.com/track/1pz24zu5H9A0S1a2NKT4F0
192,"Airplane pt.2",BTS,14320,https://open.spotify.com/track/1trFxVLL8WKhYap543e74l
193,"Say You Won't Let Go","James Arthur",14318,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
194,Photograph,"Ed Sheeran",14244,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
195,Gashina,SUNMI,14222,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST
196,Delicate,"Taylor Swift",14121,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
197,รอยยิ้ม,Scrubb,14071,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX
198,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",14033,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
199,เพื่อนรัก,"The Parkinson",13812,https://open.spotify.com/track/02ILnpL8IvIa9IQX7sSO9I
200,"rockstar (feat. 21 Savage)","Post Malone",13812,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
1,"In My Feelings",Drake,133516,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,119679,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
3,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",109599,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
4,หมอกร้าย,Lipta,105046,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
5,มีผลต่อหัวใจ,"Non Tanon",94980,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
6,ภาพจำ,"Pop Pongkool",94063,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
7,วิชาตัวเบา,Bodyslam,88030,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
8,"Girls Like You (feat. Cardi B)","Maroon 5",86016,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,"KILLING ME",iKON,81488,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
10,ถ้าเธอต้องเลือก,Illslick,80414,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
11,"Good Luck feat. Maiyarap",Lipta,80107,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
12,ขอโทษ,"Burin Boonvisut",77498,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
13,นอนได้แล้ว,"Fukking Hero",77496,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
14,คนที่ไม่ใช่,O-Pavee,77417,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
15,"No Brainer","DJ Khaled",76202,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
16,หากวันนั้น,"Room 39",73351,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
17,"FOREVER YOUNG - KR Ver.",BLACKPINK,72751,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
18,"Good Morning Teacher","Atom Chanakan",72658,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
19,ความเงียบดังที่สุด,Getsunova,68226,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
20,กำลังจะ,Illslick,65766,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
21,"Day 1 ◑",HONNE,65519,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
22,"God is a woman","Ariana Grande",64827,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
23,ถ้าฉันหายไป(Skyline),"Earth Patravee",62155,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
